"Date Printed: Thursday, June 21, 2018 8:26:38 AM"
Title: HIV prevalence | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiple races | Native Hawaiian/Other Pacific Islander | White | Male | Female | Ages 13 years and older | All transmission categories
"Footnote(s): AIDS diagnoses and HIV diagnoses data for the year 2016 are preliminary and based on 6 months reporting delay. Therefore, trend data should only be viewed through the year 2015 to allow sufficient time (at least 12 months) for reporting of case information to accurately assess trends. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. Death data based on residence at death. Data adjusted for missing transmission category."
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2009","Alabama","01","Ages 13 years and older","Multiple races","Male","All transmission categories","Data suppressed","Data suppressed","14,907"
"HIV prevalence","2009","Alabama","01","Ages 13 years and older","Multiple races","Female","All transmission categories","Data suppressed","Data suppressed","16,439"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","Multiple races","Male","All transmission categories","Data suppressed","Data suppressed","17,742"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","Multiple races","Female","All transmission categories","Data suppressed","Data suppressed","19,702"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Male","All transmission categories","4",34.7,"11,528"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Female","All transmission categories","1",8.3,"11,997"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","25",99.8,"25,049"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","7",23.9,"29,312"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","5,337",1106.8,"482,198"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","2,546",444.7,"572,578"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","283",374,"75,675"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","87",139.1,"62,524"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","Data suppressed","Data suppressed","928"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","Data suppressed","Data suppressed","923"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","2,787",208.3,"1,337,789"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","604",42.6,"1,417,697"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Multiple races","Male","All transmission categories","Data suppressed","Data suppressed","21,146"
"HIV prevalence","2015","Alabama","01","Ages 13 years and older","Multiple races","Female","All transmission categories","Data suppressed","Data suppressed","23,181"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","240",315.9,"75,967"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","76",135.7,"56,016"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","Data suppressed","Data suppressed","821"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","Data suppressed","Data suppressed","757"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","2,476",186.6,"1,326,859"
"HIV prevalence","2010","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","620",44,"1,407,722"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Multiple races","Male","All transmission categories","Data suppressed","Data suppressed","14,376"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Multiple races","Female","All transmission categories","Data suppressed","Data suppressed","15,943"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Male","All transmission categories","3",27.6,"10,855"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Female","All transmission categories","1",8.8,"11,300"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","19",88.9,"21,383"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","6",24.3,"24,654"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","4,671",1008,"463,371"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","2,410",435.2,"553,707"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","257",340.7,"75,435"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","82",143.2,"57,260"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","Data suppressed","Data suppressed","832"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","Data suppressed","Data suppressed","771"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","2,603",195.7,"1,329,911"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","630",44.7,"1,410,105"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Multiple races","Male","All transmission categories","Data suppressed","Data suppressed","18,393"
"HIV prevalence","2011","Alabama","01","Ages 13 years and older","Multiple races","Female","All transmission categories","Data suppressed","Data suppressed","20,317"
"HIV prevalence","2013","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Male","All transmission categories","3",26.8,"11,180"
"HIV prevalence","2013","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Female","All transmission categories","1",8.6,"11,610"
"HIV prevalence","2013","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","24",103.6,"23,160"
"HIV prevalence","2013","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","6",22.2,"26,968"
"HIV prevalence","2012","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Male","All transmission categories","3",27.2,"11,016"
"HIV prevalence","2012","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Female","All transmission categories","1",8.8,"11,425"
"HIV prevalence","2012","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","22",98.4,"22,352"
"HIV prevalence","2012","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","6",23.2,"25,889"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Male","All transmission categories","2",20.6,"9,725"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","American Indian/Alaska Native","Female","All transmission categories","1",10.2,"9,803"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","14",80.9,"17,311"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","4",20.2,"19,786"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","4,078",907.8,"449,229"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","2,175",405.3,"536,698"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","227",427.6,"53,081"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","70",171.1,"40,903"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","Data suppressed","Data suppressed","536"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","Data suppressed","Data suppressed","589"
"HIV prevalence","2008","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","2,357",180.1,"1,308,875"
